runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0610T000235Z_R3Cl27,epsilon,3,0.0001,0.1,1,8,4096,1,1,512,0.8683635774425352,0.8683635774425352
0517T103019Z_rEF4nN,epsilon,1,0.0001,10,512,512,4096,1,1,16,0.4913490658042453,0.488864214524524
0517T021858Z_6MABjc,epsilon,0,0.0001,0.5,2,32,4096,1,1,16,0.6196727197303349,0.6196727197303349
0610T013136Z_I1hlyd,epsilon,4,0.0001,0.5,32,32,4096,1,1,512,0.5686389714415138,0.5686389714415138
0610T000359Z_2vbDml,epsilon,3,0.0001,2,16,8,4096,1,1,512,0.6960683603628101,0.6960683603628101
0609T235722Z_wuXoGM,epsilon,3,0.0001,2,512,2,4096,1,1,512,0.5327243503296035,0.5327243503296035
0610T010501Z_TPg6JS,epsilon,4,0.0001,20,64,2,4096,1,1,512,0.5159389200135877,0.5076430367525874
0610T112033Z_p5qdd2,epsilon,1,0.0001,50,1,2,4096,1,1,512,31.693050281006236,0.8911376688840524
0610T005242Z_7OTlb0,epsilon,3,0.0001,1,128,16,4096,1,1,512,0.8124586503467691,0.8124586503467691
0517T030444Z_LdxtLO,epsilon,0,0.0001,10,4,16,4096,1,1,16,0.5573730451201898,0.5573730451201898
0610T004435Z_Sl7MnU,epsilon,4,0.0001,0.2,16,2,4096,1,1,512,0.4837684544952595,0.4837684544952595
0610T004929Z_XN6ywr,epsilon,4,0.0001,2,512,1,4096,1,1,512,0.4738837495019019,0.4736837064196573
0610T112250Z_kGFPaj,epsilon,0,0.0001,50,64,64,4096,1,1,512,0.8994655126684189,0.6935214353897103
0610T001500Z_zN9YgK,epsilon,3,0.0001,0.05,4,4,4096,1,1,512,0.8680824460974309,0.8680824460974309
0610T000811Z_aG6jPR,epsilon,3,0.0001,0.5,1024,8,4096,1,1,512,0.8124676049529713,0.8124676049529713
0517T032059Z_nhzqie,epsilon,1,0.0001,0.1,32,8,4096,1,1,16,0.4742941706426229,0.4742941706426229
0517T030044Z_A1R6Td,epsilon,1,0.0001,1,1,4,4096,1,1,16,1.847865592975125,0.8911376688840524
0610T111730Z_kyNUDe,epsilon,0,0.0001,50,8,4,4096,1,1,512,3.0127626508898566,0.8911376688840524
0610T012531Z_PxRQ13,epsilon,4,0.0001,0.01,32,128,4096,1,1,512,0.8860749954884044,0.8860749954884044
0517T013008Z_0mmoWp,epsilon,0,0.0001,10,512,8,4096,1,1,16,0.479174024252394,0.4759510117265049
0517T012912Z_3GZ3W7,epsilon,1,0.0001,0.001,512,1,4096,1,1,16,0.5084911948804179,0.5084911948804179
0610T002602Z_fPbcs6,epsilon,3,0.0001,0.1,2,32,4096,1,1,512,0.8818437694023368,0.8818437694023368
0610T000154Z_uZs9wX,epsilon,3,0.0001,5,1,4,4096,1,1,512,0.6020716931753503,0.555831859359633
0517T010116Z_eQsaAx,epsilon,1,0.0001,0.5,16,256,4096,1,1,16,0.4822802349161934,0.4822802349161934
0517T204430Z_02JKeo,epsilon,1,0.0001,0.2,4096,512,4096,1,1,16,0.5628043680597973,0.5628043680597973
